Timestamp,X Position,Y Position
2024-03-27T00:29:34.490Z,676,1019
2024-03-27T00:29:34.762Z,962,905
2024-03-27T00:29:34.962Z,456,948
2024-03-27T00:29:35.163Z,186,852
2024-03-27T00:29:35.274Z,184,852
2024-03-27T00:29:36.034Z,300,337
2024-03-27T00:29:36.283Z,318,218
2024-03-27T00:29:36.467Z,311,141
2024-03-27T00:29:37.098Z,602,142
2024-03-27T00:29:38.474Z,825,170
2024-03-27T00:29:38.706Z,1164,154
2024-03-27T00:29:38.899Z,1173,211
2024-03-27T00:29:39.490Z,420,257
2024-03-27T00:29:39.651Z,344,257
2024-03-27T00:29:39.899Z,250,408
2024-03-27T00:29:40.050Z,196,420
2024-03-27T00:29:40.202Z,155,344
2024-03-27T00:29:40.363Z,155,242
2024-03-27T00:29:40.547Z,203,165
2024-03-27T00:29:40.843Z,229,116
2024-03-27T00:29:41.090Z,347,142
2024-03-27T00:29:41.243Z,598,260
2024-03-27T00:29:41.970Z,749,1312
2024-03-27T00:29:42.106Z,749,1312
2024-03-27T00:29:42.634Z,268,1571
2024-03-27T00:29:42.771Z,268,1571
2024-03-27T00:29:43.354Z,713,1495
2024-03-27T00:29:45.026Z,1049,1486
2024-03-27T00:29:45.162Z,1049,1486
2024-03-27T00:29:45.402Z,1167,1361
2024-03-27T00:29:45.570Z,1211,1360
2024-03-27T00:29:45.746Z,1211,1360
2024-03-27T00:29:45.994Z,547,1442
2024-03-27T00:29:46.410Z,400,1392
2024-03-27T00:29:46.578Z,400,1392
2024-03-27T00:29:46.778Z,286,1383
2024-03-27T00:29:46.932Z,276,1378
2024-03-27T00:29:47.074Z,241,1372
2024-03-27T00:29:47.314Z,253,1461
2024-03-27T00:29:47.546Z,285,1488
2024-03-27T00:29:47.722Z,305,1461
2024-03-27T00:29:47.947Z,567,1449
2024-03-27T00:29:48.059Z,567,1449
2024-03-27T00:29:48.250Z,677,1442
2024-03-27T00:29:48.578Z,986,1574
2024-03-27T00:29:49.540Z,0,1039
2024-03-27T01:01:00.669Z,253,175
2024-03-27T01:01:18.197Z,311,131
2024-03-27T01:01:26.653Z,195,22
2024-03-27T01:01:26.797Z,195,22
2024-03-27T01:01:26.941Z,195,22
2024-03-27T01:01:27.597Z,381,34
2024-03-27T01:01:27.733Z,383,33
2024-03-27T01:01:28.597Z,265,126
2024-03-27T01:01:28.838Z,694,150
2024-03-27T01:01:28.965Z,791,171
2024-03-27T01:01:29.118Z,1166,199
2024-03-27T01:01:29.877Z,517,446
2024-03-27T01:01:30.318Z,202,491
2024-03-27T01:01:30.461Z,122,481
2024-03-27T01:01:30.917Z,917,280
2024-03-27T01:01:31.062Z,918,279
2024-03-27T01:01:32.045Z,935,1364
2024-03-27T01:01:32.181Z,935,1364
2024-03-27T01:01:32.413Z,471,1307
2024-03-27T01:01:32.557Z,471,1307
2024-03-27T01:01:32.949Z,504,1169
2024-03-27T01:01:33.086Z,554,1149
2024-03-27T01:01:33.246Z,892,1140
2024-03-27T01:01:33.406Z,1018,1186
2024-03-27T01:01:33.622Z,1122,1351
2024-03-27T01:01:33.910Z,1126,1455
2024-03-27T01:01:34.054Z,1118,1492
2024-03-27T01:01:34.229Z,1105,1569
2024-03-27T01:01:34.390Z,1095,1588
2024-03-27T01:01:34.598Z,598,1696
2024-03-27T01:01:34.974Z,427,1615
2024-03-27T01:01:35.117Z,353,1592
2024-03-27T01:01:35.269Z,328,1582
2024-03-27T01:01:35.462Z,440,1553
2024-03-27T01:01:35.614Z,635,1553
2024-03-27T01:01:35.758Z,786,1554
2024-03-27T01:01:35.902Z,816,1554
2024-03-27T01:01:36.053Z,1050,1545
2024-03-27T01:01:36.206Z,1086,1540
2024-03-27T01:01:36.365Z,1182,1601
2024-03-27T01:01:36.525Z,1188,1606
2024-03-27T01:01:36.669Z,1176,1634
2024-03-27T01:01:36.821Z,1152,1641
2024-03-27T01:01:36.973Z,988,1650
2024-03-27T01:01:37.725Z,25,1570
2024-03-27T01:01:38.005Z,269,1317
2024-03-27T01:01:38.245Z,569,1226
2024-03-27T01:01:38.414Z,716,1174
2024-03-27T01:01:38.622Z,740,1160
2024-03-27T01:01:38.782Z,834,1181
2024-03-27T01:01:38.942Z,901,1188
2024-03-27T01:01:39.109Z,965,1188
